zona,tier,p,q,lat,lon,HE,FN_buruk
573-A,1,79,0.25,-8.5,114.0,0.625257302604036,0.022727272727272728
573-A,1,79,0.25,-8.5,114.5,0.5874845329999778,0.044444444444444446
573-A,1,79,0.25,-8.5,115.5,0.6288063871020946,0.0
573-A,1,79,0.25,-9.0,114.5,0.6162745070521367,0.022727272727272728
573-A,1,79,0.25,-9.0,115.0,0.6222853801786592,0.022727272727272728
573-A,1,79,0.25,-9.0,115.5,0.6323112280181908,0.022727272727272728
573-A,1,79,0.25,-9.0,117.0,0.46249572632477687,0.023255813953488372
573-A,1,79,0.25,-9.0,117.5,0.474672991640415,0.0
573-A,1,79,0.25,-9.0,118.0,0.46552928038638863,0.0
573-A,1,79,0.25,-9.0,118.5,0.47925768205362806,0.0
573-A,1,79,0.25,-9.0,119.0,0.4102307260313296,0.023255813953488372
573-A,1,80,0.25,-7.0,106.0,0.29620966431252027,0.11363636363636363
573-A,1,80,0.25,-7.5,106.0,0.3414923209005055,0.10869565217391304
573-A,1,80,0.25,-7.5,106.5,0.5402665840859675,0.06666666666666667
573-A,1,80,0.25,-7.5,107.0,0.6131247371283609,0.0
573-A,1,80,0.25,-7.5,107.5,0.596816469218566,0.0
573-A,1,80,0.25,-8.0,107.5,0.6453227608605441,0.0425531914893617
573-A,1,80,0.25,-8.0,108.0,0.7057433955670838,0.022727272727272728
573-A,1,80,0.25,-8.0,108.5,0.7017956978822524,0.020833333333333332
573-A,1,80,0.25,-8.0,109.0,0.73289453128937,0.023809523809523808
573-A,1,80,0.25,-8.0,109.5,0.7558201539750439,0.021739130434782608
573-A,1,80,0.25,-8.5,109.5,0.7013018774238824,0.044444444444444446
573-A,1,80,0.25,-8.5,110.0,0.7075516416135385,0.06818181818181818
573-A,1,80,0.25,-8.5,110.5,0.7416220033938878,0.044444444444444446
573-A,1,80,0.25,-8.5,111.0,0.758182978028988,0.023255813953488372
573-A,1,80,0.25,-8.5,111.5,0.7663582267039719,0.0
573-A,1,80,0.25,-8.5,112.0,0.7899303454323152,0.0
573-A,1,80,0.25,-8.5,112.5,0.7669320760456961,0.0
573-A,1,80,0.25,-8.5,113.0,0.7142707454987351,0.02127659574468085
573-A,1,80,0.25,-8.5,113.5,0.6916724716027894,0.045454545454545456
573-A,1,80,0.25,-8.5,114.0,0.6757212715305283,0.022727272727272728
573-A,1,80,0.25,-8.5,114.5,0.6677666129098955,0.044444444444444446
573-A,1,80,0.25,-8.5,115.5,0.6757026482351971,0.0
573-A,1,80,0.25,-9.0,114.5,0.7027846466914602,0.022727272727272728
573-A,1,80,0.25,-9.0,115.0,0.707045812231835,0.022727272727272728
573-A,1,80,0.25,-9.0,115.5,0.6816748494217559,0.022727272727272728
573-A,1,80,0.25,-9.0,117.0,0.5123528746286512,0.023255813953488372
