lat,lon,zona,korelasi_thd_indeks
-14.0000,126.5000,5,0.9314
-14.0000,127.5000,5,0.9242
-14.0000,128.0000,5,0.9473
-14.5000,104.0000,1,0.7148
-14.5000,104.5000,1,0.7246
-14.5000,105.0000,1,0.7344
-14.5000,105.5000,1,0.7445
-14.5000,106.0000,1,0.7543
-14.5000,106.5000,1,0.7641
-14.5000,107.0000,1,0.7730
-14.5000,107.5000,1,0.7804
-14.5000,108.0000,1,0.7878
-14.5000,108.5000,1,0.7959
-14.5000,109.0000,1,0.8034
-14.5000,109.5000,1,0.8102
-14.5000,110.0000,1,0.8195
-14.5000,110.5000,1,0.8264
-14.5000,111.0000,1,0.8319
-14.5000,111.5000,1,0.8371
-14.5000,112.0000,1,0.8391
-14.5000,112.5000,1,0.8394
-14.5000,113.0000,1,0.8390
-14.5000,113.5000,1,0.8372
-14.5000,114.0000,1,0.8350
-14.5000,114.5000,1,0.8338
-14.5000,115.0000,1,0.8315
-14.5000,115.5000,1,0.8305
-14.5000,116.0000,1,0.8265
-14.5000,116.5000,1,0.8201
-14.5000,117.0000,1,0.8085
-14.5000,117.5000,1,0.7927
-14.5000,118.0000,4,0.7900
-14.5000,118.5000,4,0.7964
-14.5000,119.0000,4,0.7999
-14.5000,119.5000,4,0.7999
-14.5000,120.0000,4,0.7979
-14.5000,120.5000,4,0.7907
-14.5000,121.0000,4,0.7781
-14.5000,121.5000,4,0.7612
-14.5000,122.0000,4,0.7426
-14.5000,122.5000,4,0.7163
-14.5000,123.0000,5,0.7195
-14.5000,123.5000,5,0.7595
-14.5000,124.0000,5,0.7981
-14.5000,124.5000,5,0.8323
-14.5000,125.0000,5,0.8785
-14.5000,125.5000,5,0.8790
-14.5000,126.0000,5,0.8614
-14.5000,128.0000,5,0.9097
-15.0000,104.0000,1,0.7006
-15.0000,104.5000,1,0.7104
-15.0000,105.0000,1,0.7191
-15.0000,105.5000,1,0.7284
-15.0000,106.0000,1,0.7389
-15.0000,106.5000,1,0.7480
-15.0000,107.0000,1,0.7560
-15.0000,107.5000,1,0.7646
-15.0000,108.0000,1,0.7703
-15.0000,108.5000,1,0.7784
-15.0000,109.0000,1,0.7859
-15.0000,109.5000,1,0.7913
-15.0000,110.0000,1,0.8002
-15.0000,110.5000,1,0.8068
-15.0000,111.0000,1,0.8109
-15.0000,111.5000,1,0.8161
-15.0000,112.0000,1,0.8195
-15.0000,112.5000,1,0.8224
-15.0000,113.0000,1,0.8245
-15.0000,113.5000,1,0.8240
-15.0000,114.0000,1,0.8209
-15.0000,114.5000,1,0.8188
-15.0000,115.0000,1,0.8171
-15.0000,115.5000,1,0.8154
-15.0000,116.0000,1,0.8103
-15.0000,116.5000,1,0.8021
-15.0000,117.0000,1,0.7891
-15.0000,117.5000,1,0.7709
-15.0000,118.0000,4,0.7676
-15.0000,118.5000,4,0.7722
-15.0000,119.0000,4,0.7729
-15.0000,119.5000,4,0.7690
-15.0000,120.0000,4,0.7618
-15.0000,120.5000,4,0.7509
-15.0000,121.0000,4,0.7339
-15.0000,121.5000,4,0.7102
-15.0000,122.0000,4,0.6795
-15.0000,122.5000,5,0.6631
