zona,tier,musim,cacah,phi_dipakai,lambda_musim,massa,E_W,sd_W,E_W_data,sd_W_data,f,E_payout,p_bayar,W_q99,dijual,premi_musim
573-A,2,Peralihan I,Binomial,0.7777777777777778,1.8779257851196585,0.9999999999999993,5.573199104226077,4.275155638394194,5.4,4.272001872658766,2,3.8544365510058585,0.7187700035816942,18,True,2578618.0526229194
573-A,2,Timur,Poisson,1.0,6.71945002264619,0.9999999999999988,19.941593615595114,8.90446574855703,19.16,6.209401474108971,13,7.402776160606498,0.7497496794116169,44,True,4952457.251445747
573-A,2,Timur,Binomial,0.3721881390593048,6.71945002264619,0.9999999999999984,19.941593615595107,6.567948738934175,19.16,6.209401474108971,15,5.668994541629294,0.7387530058821211,37,True,3792557.348349998
573-A,2,Peralihan II,Poisson,1.0,2.79414772390293,0.9999999999999994,8.292309374163526,5.742033014713045,8.96,5.442732157045149,4,4.780853817994081,0.7096735096402808,25,True,3198391.2042380404
573-A,2,Peralihan II,Binomial,0.39726027397260266,2.79414772390293,0.9999999999999994,8.29230937416353,4.383886881602498,8.96,5.442732157045149,5,3.7664150118233173,0.7127498134268688,20,True,2519731.6429097992
573-A,3,Barat,Poisson,1.0,0.503232308678642,0.9999999999999999,1.1649827945910562,1.8828891668499856,1.0416666666666667,1.7810394294555532,0,1.1649793678120208,0.39542666955228156,8,False,780536.1764340539
573-A,3,Barat,Binomial,0.9598662207357862,0.503232308678642,1.0000000000000002,1.1649827945910565,1.8549589686243788,1.0416666666666667,1.7810394294555532,0,1.1649812125374717,0.40144167497226874,8,False,780537.412400106
573-A,3,Peralihan I,Poisson,1.0,1.1232853824262925,1.0,2.6004056603168673,2.813102472216971,2.44,2.3108440016582685,0,2.600225721947443,0.674790400317827,12,False,1742151.233704787
573-A,3,Peralihan I,Binomial,0.8390804597701151,1.1232853824262925,1.0000000000000002,2.6004056603168677,2.6358167353415096,2.44,2.3108440016582685,0,2.6003780881091396,0.7060618690211466,11,False,1742253.3190331236
573-A,3,Timur,Poisson,1.0,4.582147370633468,1.0000000000000002,10.607671163016478,5.681657172525707,10.24,4.323193264243457,6,5.067367907196389,0.7459235679584728,26,False,3395136.4978215806
