zona,tier,P_rugi,p,q,u_z,HE_rata,HE_p10,HE_min,FN_buruk_rata,FN_buruk_p90,p_bayar,hari_bayar_thn,premi_murni_thn
573-A,2,90,85,0.0,2.2909,0.37401727352211206,0.2536089584531568,0.08976082890803105,0.0014338575393154488,0.0,0.9494949494949495,45.81,30646890.0
573-A,2,90,85,0.25,2.2909,0.6240605639352392,0.5125103283334801,0.388312594706019,0.05338490323048146,0.06976744186046512,0.6767676767676768,18.785,12567165.0
573-A,2,90,85,0.5,2.2909,0.5922528208785206,0.5045561301910547,0.4714900754917888,0.15471932113490422,0.18700707785642065,0.48484848484848486,9.055,6057795.0
573-A,2,90,86,0.0,2.3153,0.4282850504109504,0.30309174661223187,0.14041831051288012,0.0014338575393154488,0.0,0.9494949494949495,43.785,29292164.999999996
573-A,2,90,86,0.25,2.3153,0.656101840795895,0.547549808713891,0.4136016613654049,0.04655077085459187,0.0653623188405797,0.6767676767676768,18.351666666666667,12277265.0
573-A,2,90,86,0.5,2.3153,0.6385388325960842,0.5412757807536925,0.4841516729690253,0.1432070592392226,0.17470355731225298,0.47474747474747475,10.818333333333333,7237465.0
573-A,2,90,87,0.0,2.3405,0.49205721888760673,0.38312897269503743,0.23895352408775083,0.0014338575393154488,0.0,0.9494949494949495,41.574999999999996,27813674.999999996
573-A,2,90,87,0.25,2.3405,0.713269306133584,0.6133333530013584,0.545882933122193,0.026897789706752648,0.06426499032882012,0.6464646464646465,16.021666666666665,10718494.999999998
573-A,2,90,87,0.5,2.3405,0.660537000458419,0.5597516585720226,0.5242440879962176,0.16877615740093527,0.20127659574468088,0.46464646464646464,9.89,6616410.0
573-A,2,90,88,0.0,2.3669,0.5680609947248061,0.455016456305445,0.3180893615278557,0.0029336890189244815,0.0021276595744681155,0.9393939393939394,39.026666666666664,26108839.999999996
573-A,2,90,88,0.25,2.3669,0.7441628368411936,0.6369258418208833,0.5870416569969832,0.04329018101653312,0.08529139685476411,0.6161616161616161,15.435,10326015.0
573-A,2,90,88,0.5,2.3669,0.6952945537259716,0.5956353683392271,0.5256508076649007,0.1408941325742105,0.17567067530064756,0.46464646464646464,10.133333333333335,6779200.000000001
573-A,2,90,89,0.0,2.3975,0.6407525399242798,0.5129510507821603,0.4082571703547979,0.011980889287861729,0.023255813953488372,0.9090909090909091,36.615,24495435.0
573-A,2,90,89,0.25,2.3975,0.7647992036909256,0.6622895649194769,0.5840724953244236,0.01718515642842816,0.043675889328063246,0.7171717171717171,16.575,11088675.0
573-A,2,90,89,0.5,2.3975,0.6932281711955973,0.6022232352728268,0.5349660216947161,0.12893702703359053,0.17567067530064756,0.47474747474747475,9.685,6479265.0
573-A,2,90,90,0.0,2.4281,0.6960227870069198,0.554516805900996,0.46576932002784877,0.025338479344137323,0.044444444444444446,0.8787878787878788,34.126666666666665,22830740.0
573-A,2,90,90,0.25,2.4281,0.7643401654597869,0.6453977944660416,0.583016442265778,0.04264173674173029,0.07148634984833167,0.6363636363636364,15.846666666666668,10601420.0
573-A,2,90,90,0.5,2.4281,0.7061591727544986,0.6088606955436332,0.5167499857053182,0.15595693506864416,0.1970171890798787,0.4444444444444444,9.841666666666667,6584075.0
573-A,2,90,91,0.0,2.4609,0.7361765158268673,0.6203111585248223,0.5232174791476117,0.025338479344137323,0.044444444444444446,0.8686868686868687,31.31,20946390.0
573-A,2,90,91,0.25,2.4609,0.7727830579473322,0.678925491282831,0.6019038671879564,0.04265783980131161,0.07148634984833167,0.6262626262626263,14.790000000000001,9894510.0
573-A,2,90,91,0.5,2.4609,0.7150704611367348,0.6376705263918406,0.5535583306024856,0.15220506002184386,0.21739130434782608,0.4444444444444444,9.985,6679965.0
573-A,2,90,92,0.0,2.4913,0.7335416814508678,0.6321812194432915,0.5309745775998338,0.025338479344137323,0.044444444444444446,0.8484848484848485,28.695,19196955.0
573-A,2,90,92,0.25,2.4913,0.7342199297503735,0.6362969744968213,0.5562660200346883,0.04496653511304028,0.07148634984833167,0.6464646464646465,14.655000000000001,9804195.0
573-A,2,90,92,0.5,2.4913,0.6732911582981086,0.5952845406163609,0.5045100490077032,0.1343044148605335,0.19327065809005445,0.46464646464646464,9.151666666666667,6122465.0
573-A,2,90,93,0.0,2.5304,0.7243512578302946,0.6446479622922016,0.5290713349623908,0.026096055101713082,0.04454545454545455,0.8282828282828283,25.665,17169885.0
573-A,2,90,93,0.25,2.5304,0.7116036696685213,0.6385651451326737,0.5645956695413837,0.05554839795130895,0.09112050739957717,0.6161616161616161,12.145,8125005.0
573-A,2,90,93,0.5,2.5304,0.6484505710883226,0.6028315734228454,0.49819026252413956,0.1844929210405207,0.23321536905965623,0.43434343434343436,8.643333333333334,5782390.000000001
573-A,2,90,94,0.0,2.572,0.6975819808868746,0.6398119817428973,0.5279477939770512,0.026096055101713082,0.04454545454545455,0.8181818181818182,22.21666666666667,14862950.000000002
573-A,2,90,94,0.25,2.572,0.6784939963722698,0.6173356213282948,0.5323155109903048,0.0540324634121186,0.0890909090909091,0.6363636363636364,11.296666666666667,7557470.0
