zona,tier,lat,lon,skenario,subsidi,premi_dibayar,rata_tanpa,rata_dengan,sd_tanpa,sd_dengan,p90_tanpa,p90_dengan,maks_tanpa,maks_dengan,rasio_tutup,tutup_tahun_buruk,hari_hilang_timur,hari_dibayar_timur
573-A,1,-8.5,109.5,A ketat,0.0,6035771.9975,11320166.666666666,13395688.664166665,1920405.135396688,1142745.2421278318,13605900.0,14585571.997499999,13888000.0,15800771.997499999,0.3498402555910543,0.4375,26.8,7.24
573-A,1,-8.5,110.0,A ketat,0.0,6035771.9975,11365375.0,13440896.997499997,1926946.0815204345,1183919.5519268962,13454000.0,14867671.997499999,14322000.0,16234771.997499999,0.34844868735083534,0.3939393939393939,27.24,7.24
573-A,1,-8.5,110.5,A ketat,0.0,6035771.9975,11374416.666666666,13449938.664166665,2004134.5289538146,833506.6660314365,13475700.0,14498771.997499999,14756000.0,15149771.997499999,0.3481717011128776,0.38235294117647056,27.2,7.24
573-A,1,-8.5,111.0,A ketat,0.0,6035771.9975,11473875.0,13549396.997499997,2157996.420041758,709140.1905001638,14039900.0,14281771.997499999,15407000.0,15149771.997499999,0.34515366430260047,0.4788732394366197,26.84,7.24
573-A,1,-8.5,111.5,A ketat,0.0,6035771.9975,11591416.666666666,13666938.664166665,2242307.9708710588,676195.9882258646,14322000.0,14650671.997499999,14973000.0,14932771.997499999,0.3416536661466459,0.4927536231884058,26.8,7.24
573-A,1,-8.5,112.0,A ketat,0.0,6035771.9975,11555250.0,13630771.997499997,2328604.886491331,695107.2485282554,14473900.0,14498771.997499999,15190000.0,14932771.997499999,0.3427230046948357,0.4142857142857143,26.8,7.24
573-A,1,-8.5,112.5,A ketat,0.0,6035771.9975,11609500.0,13685021.997499997,2231400.88577635,566047.6435624555,14256900.0,14281771.997499999,14973000.0,14932771.997499999,0.3411214953271028,0.4927536231884058,26.36,7.24
573-A,1,-8.5,113.0,A ketat,0.0,6035771.9975,11591416.666666666,13666938.664166665,2299110.8851725357,1085314.4471881697,14473900.0,14932771.997499999,15190000.0,15149771.997499999,0.3416536661466459,0.4,24.56,7.24
573-A,1,-8.5,113.5,A ketat,0.0,6035771.9975,11645666.666666666,13721188.664166665,2556924.726692402,1298719.9020797252,14690900.0,15301671.997499999,15190000.0,15366771.997499999,0.34006211180124224,0.4,24.8,7.24
573-A,1,-8.5,114.0,A ketat,0.0,6035771.9975,11654708.333333334,13730230.33083333,2610658.079275043,1406290.4016740567,14625800.0,15149771.997499999,15841000.0,16017771.997499999,0.3397982932505818,0.3698630136986301,24.44,7.24
573-A,1,-8.5,114.5,A ketat,0.0,6035771.9975,11663750.0,13739271.997499997,2776191.7965631173,1342261.5568347778,14973000.0,15084671.997499999,15841000.0,16885771.9975,0.3395348837209302,0.3150684931506849,28.68,7.24
